#zero_crossing_rate,spectral_centroid,spectral_contrast,spectral_bandwidth,spectral_flatness,spectral_rolloff,tempo,mfcc[0],mfcc[1],mfcc[2],mfcc[3],mfcc[4],mfcc[5],mfcc[6],mfcc[7],mfcc[8],mfcc[9],mfcc[10],mfcc[11],mfcc[12],mfcc[13],mfcc[14],mfcc[15],mfcc[16],mfcc[17],mfcc[18],mfcc[19],label
0.053519896,998.8147835,24.28425093,1176.724463,4.11E-05,2007.967025,0.235150898,-190.141098,175.8733063,-34.28134155,41.49487305,-5.318624496,13.04420567,3.282692194,10.11482048,7.185431957,-0.73715651,7.292178154,-3.389906883,5.252293587,-0.689008057,-1.434886694,-1.767576218,-0.320776582,-2.068204403,-1.694017887,1.585857034,1
0.05813079,1145.296857,24.26274316,1274.750682,6.39E-05,2308.736039,0.216259411,-192.2461243,171.7952118,-43.73602676,45.54611588,-15.05103683,14.68693924,-2.776013374,7.49195385,1.023183584,-3.283710003,7.750143528,-5.147667408,4.451059341,-1.534857988,1.01957202,-4.990207672,-0.366150469,-2.858732939,-1.59899652,-0.095431872,1
0.049656351,1038.787477,23.40169948,1239.49989,5.53E-05,2163.482751,0.221912265,-186.1612701,179.723175,-42.64073563,48.19732666,-8.033466339,20.1758728,2.694079161,11.36000729,5.303518772,-2.078193903,8.387573242,-4.211574554,6.069311142,-0.693786442,1.256511211,-2.992799997,-0.206410885,-2.413604736,-1.823019028,1.393725753,1
0.048965123,1062.650902,23.66674103,1290.066752,5.64E-05,2203.961673,0.210569561,-170.8722534,172.9916992,-37.32213211,46.92263031,-8.90690136,20.21259499,-1.622231364,11.92895317,5.329016685,-1.132856607,7.712728024,-4.130730152,5.450030327,-0.74442178,4.807505131,-1.756669641,1.519933701,-1.680187345,-1.231736183,-0.483148247,1
0.052342276,860.7379061,24.45026954,1094.297579,2.24E-05,1495.970121,0.237065364,-279.526062,163.2726135,-3.629602671,35.04314423,0.091842629,13.99286366,-2.665498972,7.879361153,9.679860115,1.428358793,11.70236778,0.470431596,5.102729321,0.129808262,-1.256474853,-3.185599089,-4.818600655,-3.170397043,-2.733294964,3.342744827,1
0.056044446,850.2759755,25.24198867,1057.652452,1.39E-05,1452.191219,0.253590402,-305.6308899,164.0537262,-2.710731983,32.4846344,0.317920417,16.53404427,-0.211227581,6.099995613,14.01572514,-1.705221415,9.418009758,1.709864974,8.220302582,4.15745163,-0.603025377,-2.507704973,-7.152261257,-2.839560032,-6.325369358,3.162773609,1
0.039995223,790.9092675,24.59229155,1005.561512,3.20E-05,1529.569918,0.233683082,-277.473114,185.6124725,-10.27697659,37.08017349,7.722091675,19.01071548,1.409232259,-6.918948174,11.53777313,-0.979945242,1.618493795,3.18538785,1.972171903,-0.145883411,1.933688641,-1.603333831,-2.275966883,1.311483145,-1.881348014,0.446495235,1
0.042364256,824.6512619,24.1811498,1024.641515,3.11E-05,1568.38635,0.245992893,-239.7236786,192.4576416,-20.43989182,40.65523911,0.865900874,23.43538284,2.690407276,-12.48803329,13.75317574,-1.480903983,-0.642411649,-0.474606454,0.156971157,-2.26732707,-0.543003798,-0.563049674,-2.790355444,2.021407604,-0.80838269,-2.251611471,1
0.042814178,852.0926499,24.58610531,1067.715577,3.54E-05,1616.84439,0.248039582,-241.3812866,190.35672,-13.07388592,42.66846085,-4.79515934,24.39132309,-1.686995149,-11.93308163,13.99795055,-5.02462244,-0.078003354,-1.245897889,-2.078630447,-2.964381218,-0.255709469,-0.685971737,-2.659267902,0.096121408,-1.356707573,-1.497792721,1
0.042209306,827.3642406,23.51157835,1030.00827,2.54E-05,1596.782011,0.247305509,-233.0336151,191.7820892,-20.905056,39.1293602,1.166072607,20.2891922,2.151736975,-11.94338799,11.00482368,-2.337027073,1.126661301,-0.412261218,0.056635808,0.332158327,0.004363022,-0.617299736,-1.085677505,2.438083649,-1.266516924,-0.724958658,1
